     51/99     8.69G   0.02021  0.003742         0   0.02395        10       320    0.9457    0.9022    0.9667    0.6892   0.01819  0.002578         0
     52/99     8.69G   0.01994  0.003683         0   0.02363        11       320    0.9462    0.9025    0.9674    0.6899   0.01816  0.002575         0
     53/99     8.69G   0.02002  0.003686         0   0.02371        23       320    0.9473    0.9026    0.9676    0.6908   0.01814  0.002573         0
     54/99     8.69G    0.0196  0.003678         0   0.02328         6       320    0.9464    0.9058    0.9677    0.6899   0.01813  0.002573         0
     55/99     8.69G   0.01984  0.003682         0   0.02352        16       320    0.9466    0.9062    0.9679    0.6907   0.01812   0.00257         0
     56/99     8.69G   0.01964  0.003701         0   0.02334        12       320    0.9464    0.9059    0.9681    0.6911    0.0181  0.002567         0
     57/99     8.69G   0.01975  0.003661         0   0.02341         7       320    0.9493    0.9033    0.9682    0.6919   0.01809  0.002565         0
     58/99     8.69G   0.01969  0.003639         0   0.02333         9       320    0.9498    0.9033    0.9684    0.6919   0.01809  0.002564         0
     59/99     8.69G   0.01991  0.003663         0   0.02357        13       320    0.9472    0.9069    0.9691    0.6922   0.01807  0.002559         0
     60/99     8.69G   0.01916  0.003622         0   0.02278         8       320    0.9476    0.9068    0.9689    0.6927   0.01806  0.002554         0
     61/99     8.69G   0.01908  0.003627         0   0.02271         6       320    0.9486    0.9066    0.9692    0.6929   0.01805  0.002553         0
     62/99     8.69G   0.01902  0.003583         0    0.0226        17       320    0.9487    0.9081    0.9696    0.6936   0.01805  0.002552         0
     63/99     8.69G   0.01928  0.003555         0   0.02284        15       320    0.9494    0.9077    0.9693    0.6933   0.01805  0.002553         0
     64/99     8.69G   0.01897   0.00356         0   0.02253        11       320     0.949    0.9095    0.9703    0.6935   0.01804  0.002553         0
     65/99     8.69G   0.01866  0.003513         0   0.02218        11       320     0.949    0.9106    0.9703    0.6941   0.01803  0.002553         0
     66/99     8.69G   0.01869  0.003523         0   0.02221        16       320    0.9514    0.9106    0.9711    0.6941   0.01802  0.002551         0
     67/99     8.69G   0.01856  0.003507         0   0.02207         9       320    0.9514    0.9103    0.9714    0.6945   0.01802   0.00255         0
     68/99     8.69G   0.01848  0.003481         0   0.02196        11       320    0.9574    0.9047    0.9716    0.6947   0.01802  0.002551         0
     69/99     8.69G   0.01844  0.003457         0    0.0219        12       320    0.9574    0.9062    0.9722    0.6939   0.01802   0.00255         0
     70/99     8.69G   0.01824  0.003483         0   0.02173        11       320    0.9534    0.9084    0.9721     0.695   0.01801  0.002552         0
     71/99     8.69G   0.01824  0.003427         0   0.02166        11       320    0.9511    0.9117    0.9723    0.6954     0.018  0.002551         0
     72/99     8.69G    0.0183  0.003446         0   0.02174        16       320    0.9599    0.9037    0.9728    0.6954   0.01799  0.002551         0
     73/99     8.69G   0.01834   0.00344         0   0.02178         9       320    0.9587    0.9051    0.9729    0.6951   0.01798  0.002553         0
     74/99     8.69G   0.01814  0.003415         0   0.02155         8       320    0.9573    0.9062    0.9731     0.695   0.01798  0.002555         0
     75/99     8.69G   0.01789  0.003398         0   0.02129         6       320    0.9574    0.9062    0.9732    0.6954   0.01799  0.002557         0
     76/99     8.69G   0.01771  0.003362         0   0.02107        18       320    0.9573    0.9062    0.9731    0.6958   0.01798  0.002558         0
     77/99     8.69G   0.01765  0.003382         0   0.02103        15       320    0.9571    0.9061    0.9736    0.6958   0.01796  0.002559         0
     78/99     8.69G   0.01776  0.003343         0    0.0211        13       320    0.9557    0.9081    0.9742     0.696   0.01795   0.00256         0
