     51/99     6.38G   0.02258  0.002705         0   0.02529        15       320     0.931    0.9007    0.9553    0.6685   0.03919   0.01022         0
     52/99     6.38G   0.02258  0.002709         0   0.02528        13       320    0.9345    0.8992    0.9556    0.6682   0.03911   0.01024         0
     53/99     6.38G   0.02256  0.002701         0   0.02527        15       320    0.9358    0.8989    0.9551    0.6684   0.03904   0.01027         0
     54/99     6.38G   0.02231  0.002677         0   0.02499        10       320    0.9363    0.9004    0.9557    0.6685   0.03893   0.01029         0
     55/99     6.38G   0.02234  0.002682         0   0.02502        13       320    0.9384    0.8988    0.9555    0.6689   0.03885   0.01031         0
     56/99     6.38G   0.02224  0.002675         0   0.02491        12       320     0.938    0.8993    0.9558      0.67    0.0388   0.01033         0
     57/99     6.38G   0.02209   0.00264         0   0.02473        14       320    0.9386    0.8971    0.9555    0.6698   0.03875   0.01036         0
     58/99     6.38G   0.02183  0.002628         0   0.02445        12       320     0.939    0.8963    0.9552    0.6701   0.03868   0.01039         0
     59/99     6.38G   0.02184  0.002627         0   0.02447        12       320    0.9476    0.8879    0.9553    0.6699   0.03864   0.01041         0
     60/99     6.38G   0.02177   0.00261         0   0.02438        23       320    0.9355    0.8989    0.9551    0.6692   0.03858   0.01042         0
     61/99     6.38G   0.02153  0.002593         0   0.02412         9       320     0.936    0.8982    0.9544    0.6687   0.03854   0.01045         0
     62/99     6.38G   0.02154  0.002578         0   0.02412        18       320     0.946    0.8868    0.9538     0.669   0.03852   0.01047         0
     63/99     6.38G   0.02142  0.002591         0   0.02401        11       320    0.9264    0.9036    0.9537    0.6681    0.0385   0.01049         0
     64/99     6.38G    0.0212  0.002564         0   0.02376        10       320    0.9335    0.8952    0.9534    0.6678   0.03848   0.01051         0
     65/99     6.38G   0.02109  0.002551         0   0.02364         8       320    0.9404    0.8875    0.9514    0.6675   0.03848   0.01054         0
     66/99     6.38G   0.02122  0.002564         0   0.02378        14       320    0.9398    0.8886    0.9508    0.6671   0.03847   0.01057         0
     67/99     6.38G   0.02095  0.002549         0    0.0235        15       320     0.941    0.8883    0.9503    0.6664   0.03845   0.01059         0
     68/99     6.38G   0.02072  0.002481         0    0.0232        10       320     0.941    0.8883    0.9504    0.6667    0.0384   0.01062         0
     69/99     6.38G   0.02076  0.002515         0   0.02328         9       320     0.941    0.8875    0.9502    0.6666   0.03837   0.01064         0
     70/99     6.38G   0.02065  0.002493         0   0.02314        12       320    0.9279    0.9007    0.9499    0.6663   0.03834   0.01067         0
