     40/99     2.21G   0.03926   0.01052  0.009436   0.05921        55       320    0.6815    0.5462    0.5961    0.3719     0.059   0.01426   0.01727
     41/99     2.21G   0.03925   0.01057  0.009377   0.05919        35       320    0.7023    0.5375    0.5979    0.3735    0.0588   0.01426   0.01727
     42/99     2.21G   0.03925   0.01053  0.009287   0.05907        59       320    0.7075    0.5367    0.6008    0.3742   0.05867   0.01427   0.01732
     43/99     2.21G   0.03894   0.01051  0.009204   0.05865        28       320     0.683    0.5504    0.6021    0.3754   0.05854   0.01427   0.01727
     44/99     2.21G     0.039   0.01047  0.009217   0.05869        44       320    0.7018    0.5428    0.6043    0.3773    0.0584   0.01428   0.01724
     45/99     2.21G   0.03883    0.0105  0.009169   0.05851        46       320     0.708    0.5439    0.6063    0.3788   0.05828   0.01429   0.01719
     46/99     2.21G   0.03855   0.01044  0.009113    0.0581        28       320    0.7015    0.5464    0.6066      0.38   0.05819    0.0143   0.01715
     47/99     2.21G   0.03829   0.01037  0.008884   0.05754        51       320    0.7185    0.5389    0.6084    0.3811   0.05807   0.01432   0.01708
     48/99     2.21G   0.03847   0.01037   0.00895    0.0578        31       320    0.7187    0.5396    0.6087    0.3827   0.05799   0.01432   0.01708
     49/99     2.21G   0.03833   0.01033  0.008788   0.05745        23       320    0.7109    0.5443    0.6093    0.3837   0.05789   0.01432   0.01706
     50/99     2.21G   0.03818   0.01039  0.008708   0.05728        60       320       0.7     0.551    0.6104    0.3856   0.05779   0.01433   0.01706
     51/99     2.21G   0.03808   0.01033  0.008593     0.057        45       320    0.6944    0.5536    0.6109    0.3859   0.05769   0.01433   0.01706
     52/99     2.21G   0.03791   0.01031  0.008595   0.05682        82       320    0.6879    0.5572    0.6119    0.3871    0.0576   0.01434   0.01706
     53/99     2.21G   0.03793   0.01033  0.008522   0.05679        20       320    0.6891    0.5587    0.6138     0.389   0.05753   0.01434   0.01705
     54/99     2.21G   0.03769   0.01032  0.008411   0.05642        90       320     0.737     0.535    0.6137    0.3898   0.05745   0.01435   0.01704
     55/99     2.21G   0.03771    0.0103  0.008344   0.05635        71       320    0.7274    0.5411    0.6149    0.3906   0.05737   0.01436   0.01703
     56/99     2.21G   0.03759   0.01025  0.008354    0.0562        54       320    0.7373    0.5378     0.616    0.3912    0.0573   0.01436     0.017
     57/99     2.21G   0.03742   0.01011  0.008203   0.05573        54       320    0.7358    0.5391    0.6171    0.3918   0.05723   0.01436   0.01697
     58/99     2.21G   0.03735    0.0102  0.008189   0.05574        32       320    0.7172    0.5511    0.6182    0.3923   0.05715   0.01436   0.01693
     59/99     2.21G   0.03726   0.01023  0.008242   0.05573        25       320    0.7383    0.5412    0.6185    0.3929   0.05709   0.01437   0.01691
     60/99     2.21G   0.03723   0.01025  0.008076   0.05556        72       320    0.7384    0.5407    0.6188    0.3937   0.05703   0.01438   0.01687
     61/99     2.21G   0.03695   0.01019  0.008101   0.05524        68       320    0.7411    0.5397    0.6195    0.3941   0.05697   0.01438   0.01683
     62/99     2.21G     0.037   0.01019  0.007882   0.05506        42       320    0.7128    0.5566    0.6211    0.3943   0.05691   0.01438   0.01681
     63/99     2.21G   0.03679   0.01024  0.007912   0.05494        42       320    0.7117    0.5571    0.6214    0.3951   0.05685   0.01438   0.01681
     64/99     2.21G   0.03669   0.01011  0.007831   0.05463        25       320     0.709    0.5598    0.6217    0.3959   0.05679   0.01438   0.01679
     65/99     2.21G   0.03663   0.01004   0.00778   0.05445        27       320    0.7105    0.5618     0.623    0.3964   0.05673   0.01439   0.01677
     66/99     2.21G   0.03652    0.0101  0.007715   0.05433        26       320    0.7082    0.5646    0.6233    0.3971   0.05667   0.01438   0.01676
     67/99     2.21G   0.03647   0.01003  0.007573   0.05407        32       320     0.711    0.5643     0.624    0.3979   0.05662   0.01439   0.01674
     68/99     2.21G   0.03647   0.01003  0.007583   0.05408        77       320     0.714    0.5643    0.6248    0.3981   0.05657   0.01439   0.01673
     69/99     2.21G   0.03632   0.01003  0.007604   0.05395        19       320    0.7209    0.5603    0.6255    0.3987   0.05652   0.01439   0.01672
     70/99     2.21G   0.03619      0.01  0.007501    0.0537        35       320    0.7122     0.566    0.6262    0.3991   0.05646    0.0144    0.0167
     71/99     2.21G   0.03602  0.009998  0.007468   0.05349        51       320    0.7197    0.5628     0.627    0.4002   0.05641    0.0144   0.01669
     72/99     2.21G   0.03602  0.009989  0.007351   0.05336        22       320    0.7186    0.5633    0.6279    0.4011   0.05636   0.01441   0.01667
     73/99     2.21G   0.03605  0.009935  0.007353   0.05334        37       320    0.7296    0.5584    0.6282    0.4015   0.05631   0.01442   0.01665
     74/99     2.21G   0.03587   0.01004  0.007197    0.0531        67       320     0.729    0.5621    0.6301    0.4023   0.05626   0.01442   0.01663
     75/99     2.21G   0.03562  0.009899  0.007147   0.05267        35       320    0.7312    0.5609    0.6305    0.4031   0.05621   0.01442   0.01661
     76/99     2.21G   0.03565  0.009999  0.007123   0.05277        80       320     0.729    0.5624    0.6313    0.4033   0.05616   0.01444   0.01658
     77/99     2.21G   0.03558  0.009824  0.007048   0.05245        76       320    0.7265     0.565    0.6322    0.4038    0.0561   0.01444   0.01656
     78/99     2.21G   0.03542  0.009824  0.006871   0.05211        36       320    0.7343    0.5616    0.6326    0.4045   0.05605   0.01446   0.01655
     79/99     2.21G   0.03539  0.009826  0.006893   0.05211        54       320     0.739    0.5603    0.6334    0.4049     0.056   0.01447   0.01652
     80/99     2.21G   0.03545  0.009913  0.006998   0.05236        28       320      0.74    0.5605    0.6343     0.406   0.05595   0.01447    0.0165
     81/99     2.21G   0.03506  0.009756  0.006786    0.0516        34       320     0.742    0.5596    0.6346    0.4064    0.0559   0.01448   0.01647
     82/99     2.21G   0.03522  0.009825  0.006856   0.05191        63       320    0.7378     0.564    0.6355    0.4069   0.05586   0.01448   0.01644
     83/99     2.21G   0.03522  0.009789  0.006731   0.05174        34       320    0.7393    0.5642    0.6362    0.4075   0.05582   0.01449   0.01642
     84/99     2.21G   0.03511  0.009847  0.006685   0.05164        53       320    0.7466    0.5613    0.6369    0.4082   0.05577    0.0145    0.0164
     85/99     2.21G    0.0349  0.009822  0.006622   0.05134        40       320    0.7469    0.5625    0.6379    0.4088   0.05572   0.01451   0.01638
     86/99     2.21G   0.03493  0.009724  0.006566   0.05122        94       320    0.7448    0.5636    0.6387    0.4097   0.05568   0.01452   0.01635
